Conjunto,Tipo_motor,Motor,Marca,kv,Peso_Motor_g,n_celulas,prop_diam,prop_pitch,n_pas,corrente_min,corrente_max,empuxo_min,empuxo_max,coef_angularEI,coef_linearEI
1,Brushless,BR2826,Race Star,1290,51,3,9,4.5,2,0,13.8,0,800,57.97101449275362,0
2,Brushless,BR2826,Race Star,1290,51,3,10,4.7,2,0,16.6,0,1065,64.15662650602408,0
3,Brushless,BR2830,Race Star,1300,60.5,3,9,5,2,0,21.5,0,1130,52.55813953488372,0
4,Brushless,BR2830,Race Star,1300,60.5,4,10,4.5,2,0,29,0,1310,45.172413793103445,0
5,Brushless,BR2814,Race Star,1400,106,3,9,6,2,0,47.5,0,1950,41.05263157894737,0
6,Brushless,BR2814,Race Star,1400,106,4,8,5,2,0,58,0,2300,39.6551724137931,0
7,Brushless,BR3536,Race Star,1200,115,3,11,5,2,0,26,0,1360,52.307692307692314,0
8,Brushless,BR3536,Race Star,1200,115,4,10,6,2,0,35,0,1580,45.14285714285714,0
9,Brushless,BR3536,Race Star,950,115,3,11,5,2,0,26,0,1360,52.307692307692314,0
10,Brushless,BR3536,Race Star,950,115,4,10,6,2,0,35,0,1580,45.14285714285714,0
11,Brushless,D3542-4,Hobby de Flash,1450,130,2,12,5,2,0,93.24,0,1420,15.229025235138291,0
12,Brushless,D3542-5,Hobby de Flash,1450,130,4,11,7,2,0,46.6,0,1420,30.45837712618777,0
13,Brushless,D3542-6,Hobby de Flash,1000,130,2,10,6,2,0,73.38,0,1260,17.171359262994358,0
14,Brushless,D3542-5,Hobby de Flash,1250,130,3,11,7,2,0,59.9,0,1350,22.53417683486621,0
15,Brushless,D3542-5,Hobby de Flash,1250,130,4,9,6,2,0,44.93,0,1350,3.0045134468668477,0
16,Brushless,F40 II 2306,Race Star,1600,32.2,4,6,"4,2",3,4.23,21.54,347.84,1013.76,38.56363347786373,222.28515856997956
17,Brushless,F40 II 2317,Race Star,2400,32.2,4,5.1,5,3,6.95,33.06,434.87,1186.54,28.57158287868961,288.14346588628086
18,Brushless,F40 II 2328,Race Star,1600,32.2,6,5.1,4.3,3,4.36,22.91,407.6,1232.6,44.611163097841256,261.66070817821674
19,Brushless,F40 II 2339,Race Star,2400,32.2,4,5.1,4.7,3,7.17,33.43,430.81,1181.76,28.280120044208303,282.522037374888
20,Brushless,F40 II 2350,Race Star,2400,32.2,4,5.1,4.3,3,6.10,29.85,371.56,1096.3,30.38521283726203,233.5900019015271
21,Brushless,F1507,T-motor,2700,15.2,6,5,4,3,0,22,0,838,38.09090909090909,0
22,Brushless,F1507,T-motor,3800,15,4,5,4,3,0,23,0,673,29.26086956521739,0
23,Brushless,Velox V2207.5,T-motor,1750,37.3,6,5.1,4.7,3,35.07,42.19,1725,1854,18.117977528090705,1089.6025280898612
24,Brushless,Velox V2207.5,T-motor,2550,37.9,4,5.1,4.7,3,0,44,0,1542,35.04545454545455,0
25,Brushless,BR2207S,Race Star,1600,35,5,5,4.5,3,0,22.8,0,950,41.666666666666664,0
26,Brushless,BR2207S,Race Star,1600,35,6,4,4.5,3,0,26.2,0,1150,43.89312977099237,0
27,Brushless,BR2207S,Race Star,2200,35,4,5,4.5,3,0,28.5,0,995,34.91228070175439,0
28,Brushless,BR2207S,Race Star,2200,35,5,4,4.5,3,0,28.3,0,1060,37.45583038869258,0
29,Brushless,BR2207S,Race Star,2500,35,3,5,4.5,3,0,25,0,810,32.4,0
30,Brushless,BR2207S,Race Star,2500,35,4,5,4.5,3,0,32.6,0,1120,34.3558282208589,0
31,Brushless,CF2822,Emax,1200,39,3,10,5,2,0,,0,745,nan,nan
32,Brushless,Air A 2508,Race Star,1200,46,5,5.1,5,3,2.35,11.35,256.3,826.89,64.28511800601905,122.86132512120867
33,Brushless,Air A 2508,Race Star,1200,46,6,5.1,5,3,3.15,16.77,376.38,1244.59,65.81754157649493,211.58487460541573
34,Brushless,Air A 2508,Race Star,1200,46,4,8,4.5,2,5.44,29.87,555.1,1707.4,47.055610349057986,378.6118901728514
35,Brushless,Air A 2508,Race Star,1200,46,5,8,4.5,2,08.02,39.53,858.65,2238.29,43.21120490864246,627.3641157463862
36,Brushless,Air A 2508,Race Star,1200,46,4,6,4.2,3,2.63,13.84,259.34,924.7,59.342303485915295,126.11227566075695
37,Brushless,Air A 2508,Race Star,1200,46,5,6,4.2,3,3.73,20.00,414.17,1384.4,60.6651504804023,231.83408268399216
38,Brushless,Air A 2508,Race Star,1200,46,6,6,4.2,3,5.14,26.98,609.15,1863.11,57.97986661261922,415.21036600136085
39,Brushless,Air A 2508,Race Star,1200,46,4,7,4.2,2,3.26,17.89,330.7,1182.52,58.531931747428075,180.55854375150966
40,Brushless,Air A 2508,Race Star,1200,46,5,7,4.2,2,4.17,25.94,546.25,1707.55,54.692111924792016,361.347282462385
41,Brushless,Air A 2508,Race Star,1200,46,6,7,4.2,2,6.63,34.70,781.9,2026.77,47.336360514241335,594.7474965421316
